aic94xx-firmware 30-10
amd-ucode 20240703.e94a2a3b-1
android-studio 2024.1.1.12-1
azure-cli 2.62.0-2
azure-functions-core-tools-bin 4.0.5907-1
base 3-2
base-devel 1-1
bibata-cursor-theme-bin 2.0.7-1
btrfs-progs 6.9.2-1
chromium 127.0.6533.57-1
dex 0.9.0-2
discord 0.0.60-1
dmenu 5.3-3
docker 1:27.0.3-1
docker-compose 2.29.0-1
dotnet-sdk 8.0.6.sdk106-1
dunst 1.11.0-1
efibootmgr 18-3
firefox-developer-edition 129.0b6-1
fish 3.7.1-2
fnm-bin 1.37.1-0
fzf 0.54.0-1
ghostscript 10.03.1-1
git 2.45.2-1
gitkraken 10.1.1-1
gnome-keyring 1:46.2-1
gnu-netcat 0.7.1-10
graphicsmagick 1.3.43-1
grub 2:2.12-2
gvfs 1.54.2-1
htop 3.3.0-3
i3-wm 4.23-4
i3lock 2.15-2
i3status 2.14-2
inter-font 4.0-3
kitty 0.35.2-1
lib32-fontconfig 2:2.15.0-1
lib32-nvidia-utils 555.58.02-1
lib32-pipewire 1:1.2.1-1
libbsd 0.12.2-2
libva-nvidia-driver 0.0.12-1
linux 6.9.10.arch1-1
linux-firmware 20240703.e94a2a3b-1
linux-firmware-qlogic 20240703.e94a2a3b-1
linux-headers 6.9.10.arch1-1
maim 5.8.0-2
man-db 2.12.1-1
mesa 1:24.1.4-2
mesa-utils 9.0.0-4
mousepad 0.6.2-2
neovim 0.10.0-5
network-manager-applet 1.36.0-1
networkmanager 1.48.4-1
noto-fonts 1:24.7.1-1
noto-fonts-cjk 20230817-2
noto-fonts-emoji 1:2.042-1
noto-fonts-extra 1:24.7.1-1
novadesdk 1.0.0-1
numlockx 1.2-6
nvidia-dkms 555.58.02-1
nvidia-settings 555.58.02-1
nwg-look 0.2.7-1
openssh 9.8p1-1
otf-monaspace-nerd 3.2.1-2
pacman-contrib 1.10.6-1
papirus-icon-theme 20240501-1
paru 2.0.3-1
pavucontrol 1:6.0-1
pipewire 1:1.2.1-1
pipewire-alsa 1:1.2.1-1
pipewire-jack 1:1.2.1-1
pipewire-pulse 1:1.2.1-1
playerctl 2.4.1-3
pnpm 9.4.0-1
polkit-gnome 0.105-11
postgresql 16.3-2
redis 7.2.5-1
reflector 2023-2
rofi 1.7.5-3
spotify-launcher 0.5.4-1
starship 1.19.0-1
steam 1.0.0.79-2
sway 1:1.9-5
swayidle 1.8.0-2
swaylock 1.7.2-2
teams-for-linux 1.8.0-1
thunar 4.18.10-2
thunar-archive-plugin 0.5.2-1
timeshift 24.06.2-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-liberation 2.1.5-2
udiskie 2.5.3-1
ufw 0.36.2-4
unzip 6.0-21
upd72020x-fw 1:1.0.0-2
vim 9.1.0532-1
visual-studio-code-bin 1.91.1-1
vulkan-validation-layers 1.3.275-1
wayland-protocols 1.36-1
wd719x-firmware 1-7
wireplumber 0.5.5-1
wmenu 0.1.9-1
wofi 1.4.1-1
xarchiver 0.5.4.23-1
xclip 0.13-5
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xone-dkms-git 0.3.r57.g29ec357-1
xorg-server 21.1.13-1
xorg-xinit 1.4.2-2
xorg-xwayland 24.1.1-1
yadm 3.2.2-2
zoxide 0.9.4-2
zram-generator 1.1.2-1
